date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:45	23200/23200	---M--	200	added ('OK')	image/png	etag:%2244ec7d58752f5afc540bc415ff70a58c-ssl%22	https://mrd0x.com/static/1969c51e1692d5532942563c3a3e8dff/8c557/registry_modified.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/1969c51e1692d5532942563c3a3e8dff/8c557/registry_modified.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:46	15146/15146	---M--	200	added ('OK')	image/png	etag:%22927db5ab9338a01b23f7caa54c9b190a-ssl%22	https://mrd0x.com/static/49e34375f263400d1a000a269e9cab08/ddc81/sliver_session.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/49e34375f263400d1a000a269e9cab08/ddc81/sliver_session.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:46	23411/23411	---M--	200	added ('OK')	image/png	etag:%2297d69eec2e6009485513d5e631e2688e-ssl%22	https://mrd0x.com/static/49e34375f263400d1a000a269e9cab08/8c557/sliver_session.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/49e34375f263400d1a000a269e9cab08/8c557/sliver_session.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:46	6442/6442	---M--	200	added ('OK')	image/png	etag:%220c693670e6ec24e01809b303e1f021fe-ssl%22	https://mrd0x.com/static/60c7e141910f872982f50717b9c19bec/f687d/privileges.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/60c7e141910f872982f50717b9c19bec/f687d/privileges.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:47	10335/10335	---M--	200	added ('OK')	image/png	etag:%22bbb683fb62cde7b07644402eb924f84c-ssl%22	https://mrd0x.com/static/3c160966c37ebaa657f65c9b0a2383a2/045fd/disabled_agent.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/3c160966c37ebaa657f65c9b0a2383a2/045fd/disabled_agent.png	(from https://mrd0x.com/tampering-with-forcepoint-dlp/)
00:52:47	12267/12267	---MCZ	200	added ('OK')	application/json	etag:%2295dc9ec86b2408bf2b60e26e8b823532-ssl-df%22	https://mrd0x.com/page-data/browser-in-the-browser-phishing-attack/page-data.json	C:/My%20Web%20Sites/attck/mrd0x.com/page-data/browser-in-the-browser-phishing-attack/page-data.json	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
00:52:47	18521/18521	---M--	200	added ('OK')	image/png	etag:%224ec47947ff6ef0d6a6e5f33d3f39b183-ssl%22	https://mrd0x.com/static/871d93a543cbab9c141747b773aac595/fe9f1/demo.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/871d93a543cbab9c141747b773aac595/fe9f1/demo.png	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
00:52:47	12248/12248	---M--	200	added ('OK')	image/png	etag:%2274f72772fdf3d0369d030e2fa03fd09a-ssl%22	https://mrd0x.com/static/871d93a543cbab9c141747b773aac595/8c557/demo.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/871d93a543cbab9c141747b773aac595/8c557/demo.png	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
00:52:48	20871/20871	---M--	200	added ('OK')	image/png	etag:%22393a9ea2410de0bab98510c8806ff28f-ssl%22	https://mrd0x.com/static/dc7352a5c2ef20fda5679b8b67b9c70b/c0255/canva.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/dc7352a5c2ef20fda5679b8b67b9c70b/c0255/canva.png	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
00:52:48	24226/24226	---M--	200	added ('OK')	image/png	etag:%22dcd9610f179673270d68c857145c1b51-ssl%22	https://mrd0x.com/static/dc7352a5c2ef20fda5679b8b67b9c70b/8c557/canva.png	C:/My%20Web%20Sites/attck/mrd0x.com/static/dc7352a5c2ef20fda5679b8b67b9c70b/8c557/canva.png	(from https://mrd0x.com/browser-in-the-browser-phishing-attack/)
